the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Furn_Code,Address,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.87237358674803 40.834374715206145),2,Bronx,209,18,87,32,15,BX0421AAB,BETWEEN FTELEY AV & CROES AV,40.834383,-73.872375,Soundview-Bruckner-Bronx River,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.97259856423752 40.68589174800054),3,Brooklyn,302,35,57,25,8,BR02585AB,BETWEEN FULTON & CUMBERLAND,40.6859,-73.9726,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.003264552321 40.7081257441813),1,Manhattan,101,1,65,26,10,MN01295AB,BETWEEN FULTON ST & BEEKMAN ST,40.708134,-74.003266,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.94409857303583 40.679791748087844),3,Brooklyn,303,36,56,25,8,BR02656AB,BETWEEN FULTON ST & HERKIMER S,40.6798,-73.9441,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92174358093101 40.67858174770859),3,Brooklyn,303,41,55,25,8,BR02786AB,BETWEEN FULTON ST & HERKIMER S,40.67859,-73.921745,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94339857302724 40.68029174795206),3,Brooklyn,303,36,56,25,8,BR02299AB,BETWEEN FULTON ST & MACDONOUGH,40.6803,-73.9434,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84959858968229 40.90319170064456),2,Bronx,212,11,81,36,16,BX03074AB,BETWEEN FURMAN AV & WHITE PLAI,40.9032,-73.8496,Wakefield-Woodlawn,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98759855867753 40.6903917476806),3,Brooklyn,302,33,52,25,8,BR02272AB,BETWEEN GALLATIN PL & SMITH ST,40.6904,-73.9876,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92581857717889 40.713871740169616),3,Brooklyn,301,34,53,18,7,BR02802AB,BETWEEN GARDNER AV & SCOTT AV,40.71388,-73.92582,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-74.19979849847962 40.556991781205554),5,Staten Island,503,51,63,24,11,SI05132AB,BETWEEN GARLYLE GRN & KRISSA C,40.557,-74.1998,Freshkills Park (South),X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.92399857878804 40.68899174533379),3,Brooklyn,303,41,56,25,8,BR02705AB,BETWEEN GATES AV & MONROE ST,40.689,-73.924,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90009858734278 40.67709174654073),3,Brooklyn,305,37,54,18,7,BR02132AB,BETWEEN GEORGIA AV & ALABAMA A,40.6771,-73.9001,Cypress Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9353985812565 40.6015917628166),3,Brooklyn,315,46,41,19,9,BR02259AB,BETWEEN GERRITSEN AV & BRAGG S,40.6016,-73.9354,Madison,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.9457985712214 40.7029917437352),3,Brooklyn,301,34,53,18,7,BR0026AB,BETWEEN GERRY ST & LEONARD ST,40.703,-73.9458,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.16602350933653 40.56028677953354),5,Staten Island,503,51,62,24,11,SI05181AB,BETWEEN GETZ AV & RIDEWOOD AV,40.560295,-74.166025,Great Kills-Eltingville,A,,2
POINT (-73.89639857655388 40.88149170714932),2,Bronx,208,11,81,34,13,BX03297AB,BETWEEN GILES PL & WEBB,40.8815,-73.8964,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80462661758408 40.68813174130674),4,Queens,412,28,32,10,5,QN04076AB,BETWEEN GLASSBORO AV & LAKEWOO,40.68814,-73.804628,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.85097659350178 40.83221971452161),2,Bronx,209,18,87,34,14,BX03111AB,BETWEEN GLEASON AV & ELLIS AV,40.832228,-73.850978,Castle Hill-Unionport,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85110559353195 40.8316367146796),2,Bronx,209,18,87,34,14,BX0437AB,BETWEEN GLEASON AV & POWELL AV,40.831645,-73.851107,Castle Hill-Unionport,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.89435359136485 40.6506637521108),3,Brooklyn,318,42,60,19,8,BR02235AB,BETWEEN GLENWOOD RD & FARRAGUT,40.650672,-73.894355,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95809857205583 40.635091756855125),3,Brooklyn,314,45,42,21,9,BR02287AB,BETWEEN GLENWOOD RD & FARRAGUT,40.6351,-73.9581,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95769857214002 40.633091757142886),3,Brooklyn,314,45,42,21,9,BR02401AB,BETWEEN GLENWOOD RD & FARRAGUT,40.6331,-73.9577,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.91929858394394 40.636991755787356),3,Brooklyn,318,45,59,21,8,BR02582AB,BETWEEN GLENWOOD RD & FARRAGUT,40.637,-73.9193,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-74.1442985137191 40.60609176938107),5,Staten Island,502,50,63,24,11,SI05073AB,BETWEEN GLORIA CT & HOUSTON ST,40.6061,-74.1443,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90533357352228 40.87927470711285),2,Bronx,208,11,81,33,13,BX0005AB,BETWEEN GODWIN TERRACE & BROAD,40.879283,-73.905335,Kingsbridge-Marble Hill,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.80388061540312 40.71962773556223),4,Queens,408,24,25,14,6,QN0443AB,BETWEEN GOETHALS AV & 81 AV,40.719636,-73.803882,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98342655939328 40.699889745348095),3,Brooklyn,302,35,57,25,8,BR02068AB,BETWEEN GOLD ST & BRIDGE ST,40.699898,-73.983428,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98258755954376 40.698276745578056),3,Brooklyn,302,35,57,25,8,BR02102AB,BETWEEN GOLD ST & NAVY ST,40.698285,-73.982589,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.88079859011363 40.735791734618076),4,Queens,404,25,35,16,6,QN04545AB,BETWEEN GOLDSMITH ST & SIMONSO,40.7358,-73.8808,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.08241453267047 40.62364376374052),5,Staten Island,501,49,61,23,11,SI05175AB,BETWEEN GORDON ST & CANAL ST,40.623652,-74.082416,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.08305453244675 40.62359476420669),5,Staten Island,501,49,61,23,11,SI0046AB,BETWEEN GORDON ST & TARGEE ST,40.623603,-74.083056,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92525658447508 40.5931067641685),3,Brooklyn,318,46,59,22,8,BR02522AB,BETWEEN GOTHAN AV & EVERETT AV,40.593115,-73.925258,Marine Park-Plumb Island,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.89003357848732 40.87700970723802),2,Bronx,207,11,81,34,13,BX03438AB,BETWEEN GOULDEN AV & PAUL,40.877018,-73.890035,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98429855855986 40.71323074311334),1,Manhattan,103,1,65,26,7,MN01300AB,BETWEEN GOUVERNEUR ST & MONTGO,40.713239,-73.9843,Lower East Side,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88737858646084 40.765330729102544),4,Queens,403,22,35,13,14,QN04437AB,BETWEEN GR CENTRAL & ASTORIA B,40.765339,-73.88738,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.84104059389537 40.88052970533513),2,Bronx,212,12,83,36,16,BX03217AB,BETWEEN GRACE RD & ELY AVE,40.880538,-73.841042,Eastchester-Edenwald-Baychester,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94281457178677 40.70729874219738),3,Brooklyn,301,34,53,18,7,BR02884AB,BETWEEN GRAHAM AV & JOHNSON AV,40.707307,-73.942816,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.877398591135 40.736291734923704),4,Queens,404,25,35,16,6,QN04311AB,BETWEEN GRAND AV & 54 AV,40.7363,-73.8774,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9620985667319 40.68709174691707),3,Brooklyn,302,35,57,25,8,BR02593AB,BETWEEN GRAND AV & CLASSON AV,40.6871,-73.9621,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89526158658016 40.7262857373311),4,Queens,405,30,30,15,6,QN04542AB,BETWEEN GRAND AV & CLINTON AV,40.726294,-73.895263,Maspeth,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89779857683438 40.862491710170566),2,Bronx,207,14,78,33,13,BX0076AB,BETWEEN GRAND CONCOURSE & 190,40.8625,-73.8978,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8962475780731 40.86222971050102),2,Bronx,205,15,78,33,15,BX03266AB,BETWEEN GRAND CONCOURSE & VALE,40.862238,-73.896249,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98889855676607 40.71699174215066),1,Manhattan,103,1,65,26,12,MN01203AB,BETWEEN GRAND ST & BROOME ST,40.717,-73.9889,Lower East Side,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94395957118462 40.71133674180511),3,Brooklyn,301,34,53,18,7,BR02213AB,BETWEEN GRAND ST & MAUJER ST,40.711345,-73.943961,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94387257171502 40.71191774147654),3,Brooklyn,301,34,53,18,12,BR02389AB,BETWEEN GRAND ST & POWERS ST,40.711926,-73.943874,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95999856580724 40.71369174196237),3,Brooklyn,301,34,50,18,7,BR02048AB,BETWEEN GRAND ST & S 1ST,40.7137,-73.96,Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.16336450650648 40.626737765675344),5,Staten Island,501,49,63,23,11,SI0051AB,BETWEEN GRANDVIEW AV & SAMUEL,40.626746,-74.163366,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.82490160845315 40.73717673271827),4,Queens,408,24,25,16,6,QN04856AB,BETWEEN GRAVETT RD & REEBES AV,40.737185,-73.824903,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96862856516671 40.68655574733613),3,Brooklyn,302,35,57,25,8,BR02130AB,BETWEEN GREENE AV & LAFAYETTE,40.686564,-73.96863,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95419856732613 40.73049173863955),3,Brooklyn,301,33,50,18,12,BR02094AB,BETWEEN GREENPOINT AV & KENT S,40.7305,-73.9542,Greenpoint,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-74.00743454979977 40.728009740367064),1,Manhattan,102,3,66,27,10,MN01374AB,BETWEEN GREENWICH ST & HUDSON,40.728018,-74.007436,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.97269856633412 40.65229175422777),3,Brooklyn,307,39,44,21,9,BR02306AB,BETWEEN GREENWOOD AV & PROSPEC,40.6523,-73.9727,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91797458053485 40.696363743525545),3,Brooklyn,304,37,53,18,7,BR02767AB,BETWEEN GROVE ST & MENAHAN ST,40.696372,-73.917976,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90429858451701 40.70929174112407),4,Queens,405,30,37,15,6,QN04500AB,BETWEEN GROVE ST & MENAHAN ST,40.7093,-73.9043,Ridgewood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8787985823165 40.88069170620367),2,Bronx,207,11,81,36,13,BX03167AB,BETWEEN GUNHILL & 210 ST,40.8807,-73.8788,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76829163049693 40.66428374491806),4,Queens,413,31,31,10,5,QN04703AB,BETWEEN GUY BREWERS & 145 DR,40.664292,-73.768293,Springfield Gardens (South)-Brookville,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.9100815740112 40.85660771175311),2,Bronx,205,14,86,33,15,BX03064AB,BETWEEN HALL OF FAME & W 180 S,40.856616,-73.910083,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84449859502985 40.842391712446464),2,Bronx,210,13,82,34,14,BX03200AB,BETWEEN HALPERIN & TREMONT,40.8424,-73.8445,Westchester Square,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94379857271034 40.682291747834924),3,Brooklyn,303,36,56,25,8,BR02444AB,BETWEEN HALSEY ST & MACON ST,40.6823,-73.9438,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9532985764052 40.57949176800331),3,Brooklyn,315,48,45,22,8,BR02479AB,BETWEEN HAMPTON AV & CASS PL,40.5795,-73.9533,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,AE,,1
POINT (-74.19458850012396 40.55596078064217),5,Staten Island,503,51,63,24,11,SI05147AB,BETWEEN HAMPTON GRN & FOREST G,40.555969,-74.19459,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94184257484866 40.671259749382315),3,Brooklyn,308,35,43,25,9,BR02307AB,BETWEEN HAMPTON PL & KINGSTON,40.671268,-73.941844,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95426256175212 40.81135872288688),1,Manhattan,109,7,70,30,13,MN0301AB,BETWEEN HANCOCK PLACE & MORNIN,40.811367,-73.954264,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9177985809098 40.6855917455646),3,Brooklyn,303,41,55,25,8,BR02248AB,BETWEEN HANCOCK ST & HALSEY ST,40.6856,-73.9178,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93819857515227 40.683291746692916),3,Brooklyn,303,36,56,25,8,BR02378AB,BETWEEN HANCOCK ST & HALSEY ST,40.6833,-73.9382,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94170457890323 40.60052476368124),3,Brooklyn,315,46,41,22,9,BR02031AB,BETWEEN HARING AV & NOSTRAND A,40.600533,-73.941706,Madison,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.93637456606356 40.83062371776149),1,Manhattan,110,9,71,30,13,MN0815AB,BETWEEN HARLEM RIVER & W 155 S,40.830632,-73.936376,Harlem (North),AE,,3
POINT (-73.90593758384314 40.712412739785236),4,Queens,405,30,37,15,7,QN04589AB,BETWEEN HARMAN ST & GREENE AV,40.712421,-73.905939,Ridgewood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87516458643228 40.83416071553692),2,Bronx,209,18,85,32,15,BX03015AB,BETWEEN HARROD AVE & MORRISON,40.834169,-73.875166,Soundview-Bruckner-Bronx River,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.10119852574267 40.63109176294353),5,Staten Island,501,49,61,24,11,SI05121AB,BETWEEN HART BD & BROOK AV,40.6311,-74.1012,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75355963878393 40.609704755240635),4,Queens,414,31,31,10,5,QN04153AB,BETWEEN HASSOK ST & CARVEL PL,40.609713,-73.753561,Far Rockaway-Bayswater,AE,,1
POINT (-73.93926057261965 40.72617773894881),3,Brooklyn,301,33,50,18,12,BR02542AB,BETWEEN HAUSMAN AV & MORGAN AV,40.726186,-73.939262,Greenpoint,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.85059859358928 40.83069171526246),2,Bronx,209,18,87,34,14,BX0402AB,BETWEEN HAVILAND AV & POWELL A,40.8307,-73.8506,Castle Hill-Unionport,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89983558258213 40.76854772907589),4,Queens,401,22,36,13,14,QN04262AB,BETWEEN HAZEN ST & 49 ST,40.768556,-73.899837,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.15687750884885 40.625973765761344),5,Staten Island,501,49,61,23,11,SI05114AB,BETWEEN HEANEY AV & VAN PELT A,40.625982,-74.156879,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90734858702062 40.656005751139844),3,Brooklyn,316,42,58,19,8,BR02652AB,BETWEEN HEGEMAN AV & LINDEN BL,40.656014,-73.90735,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.11737752044789 40.634712762765034),5,Staten Island,501,49,61,23,11,SI0001AB,BETWEEN HENDERSON AV & CASTLET,40.634721,-74.117379,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.78809862189684 40.69959173858598),4,Queens,412,27,29,14,5,QN04874AB,BETWEEN HENDRICKSON & 107 AV,40.6996,-73.7881,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.88231759422914 40.65638375071241),3,Brooklyn,305,42,60,19,8,BR02775AB,BETWEEN HENDRIX ST & VAN SICLE,40.656392,-73.882319,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.99269855521787 40.71269174336413),1,Manhattan,103,1,65,26,7,MN01447AB,BETWEEN HENRY ST & MADISON ST,40.7127,-73.9927,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94089857161227 40.72149173949955),3,Brooklyn,301,34,50,18,12,BR02707AB,BETWEEN HERBERT ST & LOMBARDY,40.7215,-73.9409,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94519857036629 40.7190917402314),3,Brooklyn,301,34,50,18,12,BR0014AB,BETWEEN HERBERT ST & MEEKER AV,40.7191,-73.9452,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94079857250757 40.72019174005788),3,Brooklyn,301,34,50,18,12,BR0028AB,BETWEEN HERBERT ST & RICHARDSO,40.7202,-73.9408,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.85359859115472 40.865291708632476),2,Bronx,211,13,80,34,14,BX03194AB,BETWEEN HERING AV & TENBROECK,40.8653,-73.8536,Pelham Gardens,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92914557763723 40.67908374789786),3,Brooklyn,303,36,56,25,8,BR02437AB,BETWEEN HERKIMER ST & FULTON S,40.679092,-73.929147,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.21754349523202 40.53098578671342),5,Staten Island,503,51,62,24,11,SI05166AB,BETWEEN HERRICK & ENGLEWOOD AV,40.530994,-74.217545,Annadale-Huguenot-Prince's Bay-Woodrow,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.07821453367511 40.62169476372176),5,Staten Island,501,49,61,23,11,SI05012AB,BETWEEN HILL ST & SUSAN CT,40.621703,-74.078216,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81449861306801 40.702591738639214),4,Queens,412,24,27,14,6,QN0729AB,BETWEEN HILLSIDE & JAMAICA,40.7026,-73.8145,Jamaica Hills-Briarwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.831551608119 40.70169573993775),4,Queens,409,29,27,14,6,QN04390AB,BETWEEN HILLSIDE AV & 85 AV,40.701704,-73.831553,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80431861633427 40.706984737647986),4,Queens,412,24,24,11,6,QN04181AB,BETWEEN HILLSIDE AV & 88 AV,40.706993,-73.80432,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74510163452787 40.730347730882634),4,Queens,413,23,24,14,5,QN04755AB,BETWEEN HILLSIDE AV & SPENCER,40.730356,-73.745103,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79901861754212 40.70903373669602),4,Queens,408,24,29,14,5,QN04295AB,BETWEEN HILLSIDE AVE & 87 RD,40.709042,-73.79902,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80289861674042 40.707291737697886),4,Queens,412,24,24,11,6,QN04729AB,BETWEEN HILLSIDE BLVD & 88 AV,40.7073,-73.8029,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8657775875203 40.86555870893993),2,Bronx,211,15,80,36,14,BX03364AB,BETWEEN HOLLAND AV & CRUGER AV,40.865567,-73.865779,Allerton,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7511986332213 40.7069917354577),4,Queens,412,27,33,14,5,QN04790AB,BETWEEN HOLLIS AV & 110 AV,40.707,-73.7512,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74879863367975 40.71529173393712),4,Queens,413,23,33,14,5,QN04803AB,BETWEEN HOLLIS CT BLVD & 211 S,40.7153,-73.7488,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81933060915638 40.750931729473095),4,Queens,407,20,25,16,6,QN0334AB,BETWEEN HOLLY AV & GERANIUM AV,40.75094,-73.819332,East Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81929960874618 40.750656729704545),4,Queens,407,20,25,16,6,QN04162AB,BETWEEN HOLLY AV & HOLLY AV,40.750665,-73.819301,East Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89829857950637 40.82759171695966),2,Bronx,202,17,79,32,15,BX03007AB,BETWEEN HOME ST & E 167 ST,40.8276,-73.8983,Longwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85809858939517 40.865591708876465),2,Bronx,211,13,80,36,14,BX03353AB,BETWEEN HONE AV & PAULDING AV,40.8656,-73.8581,Pelham Gardens,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82558260892874 40.71223773783095),4,Queens,409,29,27,14,6,QN04733AB,BETWEEN HOOVER AV & 82 AV,40.712246,-73.825584,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91468058356182 40.67069174894642),3,Brooklyn,316,41,55,20,9,BR02770AB,BETWEEN HOPKINSON AVE & STERLI,40.6707,-73.914682,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79310761868166 40.73857573097046),4,Queens,408,24,25,16,6,QN0433AB,BETWEEN HORACE HARDING & 64 AV,40.738584,-73.793109,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78657061971269 40.74029873059214),4,Queens,408,23,25,16,6,QN0464AB,BETWEEN HORACE HARDING EXPWY &,40.740307,-73.786572,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75667462975571 40.74880372766451),4,Queens,411,23,25,16,6,QN0657AB,BETWEEN HORACE HARDING EXPWY &,40.748812,-73.756676,Oakland Gardens-Hollis Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.73939863413912 40.75599172626209),4,Queens,411,23,25,11,3,QN0670AB,BETWEEN HORACE HARDING EXPWY &,40.756,-73.7394,Alley Pond Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00254455178855 40.728650740747796),1,Manhattan,102,3,66,26,10,MN0024AB,BETWEEN HOUSTON ST & BLEECKER,40.728659,-74.002546,Greenwich Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.92149858043847 40.67889174694222),3,Brooklyn,303,41,55,25,8,BR02326AB,BETWEEN HOWARD AV & RALPH AV,40.6789,-73.9215,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98512655911777 40.68929674759934),3,Brooklyn,302,33,52,25,8,BR02810AB,BETWEEN HOYT ST & ELM PL,40.689305,-73.985128,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00477855049849 40.74058173780754),1,Manhattan,102,3,66,27,10,MN9026AB,BETWEEN HUDSON ST & 8 AV,40.74059,-74.00478,West Village,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.07636153518104 40.605373767484814),5,Staten Island,502,50,64,24,11,SI05120AB,BETWEEN HULAN BLVD & HYLAND BD,40.605382,-74.076363,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89201258129098 40.824111717974425),2,Bronx,202,17,85,32,15,BX0053AB,BETWEEN HUNT POINT & WESCHESTE,40.82412,-73.892014,Longwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92949857463019 40.73759173613188),4,Queens,402,26,37,12,14,QN04750AB,BETWEEN HUNTERS POINT & 37 ST,40.7376,-73.9295,Sunnyside,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7411986392484 40.65769174495373),4,Queens,413,31,29,10,5,QN04245AB,BETWEEN HUXLEY ST & NEW HALL,40.6577,-73.7412,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-74.10202852849774 40.577717773772434),5,Staten Island,502,50,64,24,11,SI05143AB,BETWEEN HYLAN BD & BOUNDARY AV,40.577726,-74.10203,New Dorp-Midland Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-74.11147152637474 40.57147377497279),5,Staten Island,502,50,64,24,11,SI05101AB,BETWEEN HYLAN BD & CLAWSON AV,40.571482,-74.111473,New Dorp-Midland Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.11899852481095 40.561591776820244),5,Staten Island,503,50,64,24,11,SI05110AB,BETWEEN HYLAN BLVD & NARROWS R,40.5616,-74.119,Oakwood-Richmondtown,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.83723860333185 40.74239273146413),4,Queens,408,24,27,16,6,QN04766AB,BETWEEN I-495 E & COLLEGE PT B,40.742401,-73.83724,Flushing Meadows-Corona Park,AE,,1
POINT (-74.11709852534328 40.56299177674015),5,Staten Island,503,50,64,24,11,SI05067AB,BETWEEN ISERNIA AV & TYSENS LN,40.563,-74.1171,Oakwood-Richmondtown,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.90869857630167 40.81299172046365),2,Bronx,201,8,84,29,15,BX03005AB,BETWEEN JACKSON AV & CONCORD,40.813,-73.9087,Mott Haven-Port Morris,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91289857551882 40.80499172273445),2,Bronx,201,8,84,29,15,BX03140AB,BETWEEN JACKSON AV & CYPRESS A,40.805,-73.9129,Mott Haven-Port Morris,X,AREA OF MINIMAL FLOOD HAZARD,
